id,y_pred,y_score
seq_3865|1,1,0.7720918937992817
seq_116|1,1,0.6403638379748661
seq_4397|1,0,0.18467618315783155
seq_4640|1,1,0.9779984456566962
seq_39|1,1,0.9682250082433664
seq_798|1,1,0.9903832106514113
seq_1605|1,1,0.9190194660963721
seq_958|1,1,0.9777591240415323
seq_2914|1,1,0.9625093625488675
seq_4|1,1,0.8542337983442871
seq_4181|1,1,0.871398044057461
seq_3816|1,1,0.9888561451859477
seq_1280|1,1,0.5287051665044046
seq_957|1,0,0.3829877223663877
seq_1760|1,1,0.9525613707028002
seq_2167|1,1,0.7610909500236417
seq_1461|1,1,0.945762425650979
seq_4219|1,1,0.657372928313337
seq_982|1,1,0.7032420258045285
seq_3756|1,1,0.7690419680544495
seq_4929|1,1,0.9331259260052952
seq_2788|1,1,0.947311277597494
seq_603|1,1,0.9129119527573581
seq_97|1,1,0.8844790215852669
seq_3039|1,1,0.9845216184070792
seq_1912|1,1,0.95543091469885
seq_4892|1,1,0.9598566687084978
seq_3217|1,1,0.6358416367962395
seq_470|1,1,0.9808542771230159
seq_2113|1,1,0.819080468695479
seq_4259|1,1,0.9544992858522816
seq_813|1,1,0.8925304323805795
seq_227|1,1,0.9685796115633519
seq_2823|1,1,0.8942241890135695
seq_3111|1,1,0.8387162447594319
seq_3940|1,1,0.9684932125582427
seq_2006|1,1,0.7827278827591073
seq_2757|1,1,0.9249429286124663
seq_1556|1,1,0.9360115893092993
seq_3921|1,1,0.9877492332786519
seq_759|1,1,0.7797246973684727
seq_3290|1,1,0.9871204861763468
seq_2459|1,1,0.8140278014907611
seq_2129|1,1,0.8794111834369552
seq_1744|1,1,0.7974652545819724
seq_3378|1,1,0.8807358035182334
seq_1799|1,1,0.9217825690193546
seq_2908|1,1,0.8901139470634692
seq_1791|1,1,0.6820022522062178
seq_3974|1,1,0.786614424230979
seq_4201|1,1,0.9188245006961465
seq_5002|1,1,0.8833917028492926
seq_142|1,1,0.8406728354559689
seq_2604|1,1,0.7756933798994111
seq_801|1,1,0.8769851759089148
seq_2417|1,1,0.924914249048128
seq_3698|1,1,0.986069520453774
seq_3968|1,1,0.5513841020381884
seq_964|1,1,0.8848549956856054
seq_978|1,1,0.8198170741502634
seq_3670|1,1,0.9451085021372283
seq_4811|1,1,0.9624753940686733
seq_695|1,1,0.9250699775493825
seq_3210|1,1,0.8920851933354381
seq_3744|1,1,0.8919409026819871
seq_918|1,1,0.6349825789533572
seq_199|1,1,0.8311004697826587
seq_2304|1,1,0.91992691067714
seq_1469|1,1,0.7002814341194491
seq_1658|1,1,0.5976972216517836
seq_2041|1,1,0.9842939119923867
seq_325|1,1,0.9192446496686544
seq_4800|1,1,0.9837082002269393
seq_3154|1,1,0.9145831739930204
seq_170|1,1,0.92015774697833
seq_3660|1,1,0.9311121408244941
seq_2401|1,1,0.992906304228436
seq_1229|1,1,0.7506942296186901
seq_3923|1,1,0.9660436570261522
seq_2678|1,1,0.8787540391547393
seq_3927|1,1,0.9519554766357089
seq_1914|1,1,0.889745854921586
seq_2379|1,1,0.940563245371312
seq_792|1,1,0.9062590389677224
seq_3558|1,1,0.8813909633792877
seq_1681|1,1,0.7228070771009202
seq_1370|1,1,0.9902149738879439
seq_19|1,1,0.8611796258555974
seq_3178|1,1,0.9627411909990959
seq_2447|1,1,0.9836245570967815
seq_3826|1,1,0.7999520754876099
seq_4068|1,1,0.9707998181149021
seq_4075|1,1,0.9782236659325961
seq_120|1,1,0.9916676790557911
seq_1992|1,1,0.9781322050215903
